company_id,sector,sector,capital_allocation
TCS,Unknown,Information Technology,Asset Light Compounder
TCS,Unknown,Information Technology,Asset Light Compounder
ABB,Unknown,Industrials,Deleveraging
ABB,Unknown,Industrials,Deleveraging
ABB,Unknown,Industrials,Deleveraging
ABB,Unknown,Industrials,Deleveraging
ADANIENSOL,Unknown,Energy,Reinvestor
ADANIENSOL,Unknown,Energy,Reinvestor
ADANIENT,Unknown,Industrials,Reinvestor
ADANIENT,Unknown,Industrials,Reinvestor
ADANIGREEN,Unknown,Energy,Reinvestor
ADANIGREEN,Unknown,Energy,Reinvestor
ADANIPORTS,Unknown,Industrials,Reinvestor
ADANIPORTS,Unknown,Industrials,Reinvestor
ADANIPORTS,Unknown,Industrials,Reinvestor
ADANIPORTS,Unknown,Industrials,Reinvestor
ADANIPOWER,Unknown,Energy,Cash Generator
ADANIPOWER,Unknown,Energy,Cash Generator
AMBUJACEM,Unknown,Materials,Reinvestor
AMBUJACEM,Unknown,Materials,Reinvestor
APOLLOHOSP,Unknown,Healthcare,Reinvestor
APOLLOHOSP,Unknown,Healthcare,Reinvestor
ASIANPAINT,Unknown,Materials,Balanced
ASIANPAINT,Unknown,Materials,Balanced
ASIANPAINT,Unknown,Materials,Balanced
ASIANPAINT,Unknown,Materials,Balanced
AGTL,Unknown,,Balanced
AXISBANK,Unknown,Financials,Distress Signal
BAJAJ-AUTO,Unknown,Consumer Discretionary,Asset Light Compounder
BAJAJ-AUTO,Unknown,Consumer Discretionary,Asset Light Compounder
BAJAJ-AUTO,Unknown,Consumer Discretionary,Asset Light Compounder
BAJAJ-AUTO,Unknown,Consumer Discretionary,Asset Light Compounder
BAJAJFINSV,Unknown,Financials,Distress Signal
BAJAJFINSV,Unknown,Financials,Distress Signal
BAJAJHLDNG,Unknown,Financials,Deleveraging
BAJAJHLDNG,Unknown,Financials,Deleveraging
BAJFINANCE,Unknown,Financials,Distress Signal
BAJFINANCE,Unknown,Financials,Distress Signal
BANKBARODA,Unknown,Financials,Distress Signal
BEL,Unknown,Industrials,Reinvestor
BEL,Unknown,Industrials,Reinvestor
BHARTIARTL,Unknown,Communication Services,Reinvestor
BHARTIARTL,Unknown,Communication Services,Reinvestor
BHEL,Unknown,Industrials,Distress Signal
BHEL,Unknown,Industrials,Distress Signal
BOSCHLTD,Unknown,Consumer Discretionary,Deleveraging
BOSCHLTD,Unknown,Consumer Discretionary,Deleveraging
BPCL,Unknown,Energy,Cash Generator
BPCL,Unknown,Energy,Cash Generator
BRITANNIA,Unknown,Consumer Staples,Cash Generator
BRITANNIA,Unknown,Consumer Staples,Cash Generator
CANBK,Unknown,Financials,Cash Generator
CHOLAFIN,Unknown,Financials,Distress Signal
CHOLAFIN,Unknown,Financials,Distress Signal
CIPLA,Unknown,Healthcare,Deleveraging
CIPLA,Unknown,Healthcare,Deleveraging
COALINDIA,Unknown,Materials,Cash Generator
COALINDIA,Unknown,Materials,Cash Generator
DABUR,Unknown,Consumer Staples,Cash Generator
